,title,comapny,salary,summary
0,Dev Ops Manager,Resy - American Express,,"As a DevOps Manager, you will help us revolutionize our test, deployment, and production infrastructure allowing fast, safe, and cost-effective releases."
1,Python Developer 3.x New York City,Emerson United Inc,$60 - $65 an hour,"Work on converting existing python scripts from 2.x to 3.x, and working with the data for testing purposes.
Moving scripts to Python v3.7, Have an understanding…"
2,newSoftware Principal Engineer - Remote,Dell,,You will become part of a global engineering team delivering management experiences and automation for the APEX Console that simplify day-to-day operating…
3,newDistinguished Machine Learning Engineer,Capital One,,"As a Capital One Machine Learning Engineer, you'll be providing technical leadership to engineering teams dedicated to productionizing machine learning…"
4,Senior Software Engineer Digital UI,Macy’s,,"Serve as a coach and mentor to more junior developers to include delegating and managing tasks, as appropriate."
5,Senior Software Engineer,Underdog.io,"$134,000 - $203,000 a year","They're working on interesting technical challenges and must be respectful of your time to stay active.
Experience in libraries and frameworks such as React,…"
6,newPython Developer,VERITIS GROUP INC,$75 - $80 an hour,"Responsible for the design, development, coding, testing, debugging and documentation of applications to satisfy the requirements of one or more user areas."
7,newQMA | Python Developer,Prudential,,"2+ years’ experience working with python programming language.
Experience working with large financial datasets using python packages like pandas/numpy/scipy."
8,newPython/React developer,"JPMorgan Chase Bank, N.A.",,"Design and develop applications by gathering requirements from users.
Write maintainable & testable code using Python & React."
9,newSoftware Developer - Python,"JPMorgan Chase Bank, N.A.",,"BS/BA degree or equivalent experience.
Expertise in application, data, and infrastructure architecture disciplines."
10,newJunior Developer,Prudential,,"The associate will have an opportunity to be involved in the full spectrum of project implementation, including but not limited to application design, test…"
11,newEntry Level - Associate Developer (Commercial): Front End,IBM,,"IBM provides a variety of solutions to clients and our specialized teams serve these needs.
Employ IBM's Design Thinking to create products that provide a great…"
12,Python Developer,Datassay Incorporation,$65 - $70 an hour,"Over all experience of 5+ years in similar role.
5+ years of SQL & Python experience.
Knowledge on Python modules Pandas, Numpy, and Web API."
13,newJava Developer - Associate,Morgan Stanley,,"This role will be of a full-stack developer with focus on backend development.
In this Associate level position, you will be building Data Governance solutions…"
14,newJunior Software Engineer,AUGMENTED REALITY CONCEPTS INC,,"Knowledge of front-end debugging with browser developer tools.
Write and debug code to integrate SpinCar's software on customer websites."
15,Python developer,Luxoft,,"The team focuses on building and supporting a centralized data sourcing, controls and distribution platform that allows our business to operate efficiently."
16,Software Engineer,Underdog.io,"$75,000 - $185,000 a year","They're working on interesting technical challenges and must be respectful of your time to stay active.
Experience in libraries and frameworks such as React,…"
17,Software Engineer,Venturi Group,"$80,000 - $120,000 a year",They support your path towards becoming the domain expert or technical leader and offer a transparent advancement track with a clear path to your next targets.
18,newPython Developer - Analyst,Sumitomo Mitsui Banking Corporation,,"The developer will liase with senior developers on the team in order to build and support application interfaces and databases, as well as ad-hoc projects and…"
19,newSoftware Developer - Python,"JPMorgan Chase Bank, N.A.",,"BS/BA degree or equivalent experience.
Expertise in application, data, and infrastructure architecture disciplines."
20,Jr. Software Developer,Amazon.com Services LLC,,"Our full-time software developers are willing and able to mentor exceptional student developers.
Currently enrolled in a Bachelor's or Master’s Degree program…"
21,Python developer,Luxoft,,"The team focuses on building and supporting a centralized data sourcing, controls and distribution platform that allows our business to operate efficiently."
22,newJunior Developer,Prudential,,"The associate will have an opportunity to be involved in the full spectrum of project implementation, including but not limited to application design, test…"
23,newEntry Level - Associate Developer (Commercial): Front End,IBM,,"IBM provides a variety of solutions to clients and our specialized teams serve these needs.
Employ IBM's Design Thinking to create products that provide a great…"
24,new100% REMOTE Full Stack Developer,CyberCoders,"$100,000 - $160,000 a year",Applicants must be authorized to work in the U.S.
25,newPython/React developer,"JPMorgan Chase Bank, N.A.",,"Design and develop applications by gathering requirements from users.
Write maintainable & testable code using Python & React."
26,Python Developer,Interactive Brokers,,"We currently process more than 1 billion order initiation events and 3 million trades per day for over 2 million customer accounts.
You will be responsible for:"
27,newJava Developer - Associate,Morgan Stanley,,"This role will be of a full-stack developer with focus on backend development.
In this Associate level position, you will be building Data Governance solutions…"
28,"newBackend Engineer, Content Platform",Spotify,,"Design, develop and deploy backend services with a focus on high availability, low latency and scalability.
Collaborate closely with other engineers and become…"
29,Back End Developer,Revelio Labs,"$90,000 - $140,000 a year","The candidate would develop core features, maintain and improve quality of the code, and work closely with teams of data engineers and front-end developers to…"
30,Sr. Python Developer,Pinnacle Group,$62 an hour,"Minimum 3 to 5 years proven work experience as a Python Developer required.
Experience with frameworks like Django, Pyramid or Flask a must."
31,newSoftware Developer (Python/AWS),Capgemini,,Solid experience as a Python Developer with profound comprehension of innovation patterns with ability in the center of complex technologies.
32,Sr. Python Developer,Pinnacle Group,$62 an hour,"Rate : $ 62/hour on W2.
* Must be able to work on W2 without sponsorship**.
Minimum 3 to 5 years proven work experience as a Python Developer required."
33,newSoftware Developer (Python/AWS),Capgemini,,Solid experience as a Python Developer with profound comprehension of innovation patterns with ability in the center of complex technologies.
34,Software Engineer (All Levels),Ribbon Health,,"We’re looking for entrepreneurial software engineers who are motivated by our mission to simplify healthcare.
What we look for at Ribbon:"
35,"newPython or Java Developer with Cyberark Experience-New York,...",Visionary Innovative Technology Solutions,"$140,000 - $160,000 a year","Position: Python or Java Developer with Strong CyberArk Experience*.
Strong object orient programming knowledge & experience in developing application tools…"
36,newJr. Python Developer,Gryps,,"We are looking for a smart, driven, enthusiastic generalist Python Developer to join our team of software engineers to help design, build and extend our…"
37,Front-End Focused Software Developer,EEG Enterprises,"$85,000 - $100,000 a year",The front-end developer should be able to guide all aspects of the visual style and user interaction pattern of the site and create a design that is both…
38,Full Stack Developer (Level 2),EEG Enterprises,"$90,000 - $120,000 a year","We are seeking a software engineer ready to contribute to EEG Video’s software portfolio in language AI, streaming video processing, and video production…"
39,newGIS Developer,Accenture,,"Experience in automating tasks using python or other tools.
ACCENTURE's Flexible Workforce solves clients’ toughest challenges by providing cross-industry…"
40,Python Developer,Schrödinger,,"We're looking for a Python Developer to aid us in our mission to improve human health and quality of life!
Schrödinger is on the cutting edge of computational…"
41,newPython/Django Developer -- FULLTIME,Infojini Inc,,"We are looking for an experienced back-end developer to work with our client’s e-.
The ideal candidate would have experience working with large Python."
42,Machine Learning Engineer I,Conde Nast,,"Condé Nast is a global media company producing the highest quality content with a footprint of more than 1 billion consumers in 32 territories through print,…"
43,Application Developer Levels 1-5,Metropolitan Transportation Authority,,"Ability to instruct and guide less senior software developers/analysts.
Evaluate operating efficiency of software systems developed by other MTA application…"
44,Junior C++ Developer - Multiple Openings,GTS,,We are a technology driven firm looking for talented junior level C++ software developers who share our passion for technology.
45,Python Developer,Emonics LLC,"$60,000 - $100,000 a year","Work experience as a Python Developer.
Expertise in at least one popular Python framework (like Django, Flask or Pyramid).
Job Types: Full-time, Contract."
46,Python Developer - Financial Services,Eternity Consulting Services,"$130,000 - $165,000 a year","Some of the key responsibilities include:
Team player to produce maintainable and scalable software that helps improve their customers' ability to efficiently…"
47,newBackend Software Engineer (NY),Philo Inc.,,"Philo’s engineers hack up and down the technology stack.
Philo engineers own what they build from start to finish."
48,Java Developer,Morgan Stanley,,"Experience with scripting languages such as python, ksh and/or bash.
Institutional Securities Technology (IST) is a global team which develops enterprise…"
49,Software Engineer: AlphaStudio,"Two Sigma Investments, LLC.",,"Two Sigma is a financial sciences company, combining data analysis, invention, and rigorous inquiry to help solve the toughest challenges in investment…"
50,C++ Developer (Associate),Alpha Beta Investments,,"Excellent programming skills in C++ and Python.
Very comfortable with Object-Oriented concepts.
Knowledge of various database and datastores is a must (SQL,…"
51,Full-Stack Engineer (Python),Coast,,"The Full-Stack Engineer is a very hands-on role, an early hire and critical team member that will execute on the vision for Coast's initial product, in close…"
52,"newBackend Engineer, Content Platform",Spotify,,"Design, develop and deploy backend services with a focus on high availability, low latency and scalability.
Collaborate closely with other engineers and become…"
53,Python Developer,Ampersand,,"You will be focused on maintaining and developing APIs that serve the results of our Bayesian models.
You will be working on these APIs using Python, fastapi,…"
54,newFront Office Developer - Full Stack,Balyasny,,"Work closely with portfolio management, trading, compliance and technology teams to deliver cutting-edge innovative software solutions."
55,Scientific Python Developer,Schrödinger,,This role presents an excellent opportunity for someone looking to transition from research science into full-time professional software development while still…
56,Full Stack Developer,MassMutual,,"Your job will require you to work closely with your fellow technology team members, to coordinate with QA resources, and to communicate with business team…"
57,newBACKEND DEVELOPER,The Forest Road Company,,"You will help refactor and maintain our core systems to prepare them to scale.
Design and implement architecture that builds on top of our existing system and…"
58,newJr. Python Developer,Gryps,,"Have a BS in Computer Science or related engineering fields.
Have a strong Python development background.
Have strong experience with databases (NoSQL: DynamoDB…"
59,Backend Developer,Complicore,Up to $49 an hour,"Liaise with developers, designers and system administrators to identify new features.
Collaborate with Front-end developers to integrate user-facing elements…"
60,Front End Developer,Amun 21Shares,,"Team of entrepreneurs, engineers, and financial product developers who are uniquely.
Institutional and retail investors in the traditional finance community."
61,Front-End Focused Software Developer,EEG Enterprises,"$85,000 - $100,000 a year","Applications include live media monitoring, AI closed captioning, and transcription visualization and quality control."
